date,temperature_2m,humidity,dewpoint_2m,apparent_temperature,pressure,precipitation
1983-07-30,30.837500000000002,65.20833333333333,23.141666666666666,35.61666666666667,1003.5958333333333,0.2
1983-07-31,29.90416666666667,68.33333333333333,23.09166666666667,34.4625,1003.5124999999999,1.4
1983-08-01,29.325,74.875,23.808333333333334,34.300000000000004,1002.0416666666666,20.400000000000002
1983-08-02,28.78333333333333,71.375,22.929166666666664,32.858333333333334,1003.1291666666666,0.1
1983-08-03,30.129166666666666,63.708333333333336,22.020833333333332,34.041666666666664,1003.4333333333334,0.0
1983-08-04,30.104166666666668,67.70833333333333,22.954166666666666,34.9375,1003.7083333333334,1.5
1983-08-05,30.191666666666666,67.08333333333333,22.870833333333334,34.5375,1003.1291666666666,0.9
1983-08-06,30.616666666666664,59.25,21.425,33.833333333333336,1001.2541666666666,0.7
1983-08-07,29.733333333333334,61.958333333333336,21.537499999999998,32.545833333333334,1000.4,0.1
1983-08-08,29.741666666666664,61.833333333333336,21.46666666666667,32.69583333333333,1000.4791666666666,0.0
1983-08-09,29.145833333333332,68.66666666666667,22.608333333333334,33.108333333333334,1001.9708333333333,0.7
1983-08-10,30.016666666666666,66.66666666666667,22.65416666666667,34.00833333333333,1001.4583333333334,4.5
1983-08-11,29.84166666666667,63.916666666666664,21.995833333333334,33.0,1000.8125,0.6000000000000001
1983-08-12,31.525000000000002,54.5,20.8875,34.0625,1001.3125,0.0
1983-08-13,30.77916666666667,57.583333333333336,21.216666666666665,33.045833333333334,1001.4541666666668,1.5
1983-08-14,31.516666666666666,54.333333333333336,20.900000000000002,33.65833333333333,1001.5124999999999,0.2
1983-08-15,31.445833333333336,50.833333333333336,19.754166666666666,32.887499999999996,1001.0541666666667,0.1
1983-08-16,30.758333333333336,56.166666666666664,20.866666666666667,32.84166666666667,999.5833333333334,0.30000000000000004
1983-08-17,32.025,51.375,20.400000000000002,33.96666666666667,998.6,0.1
1983-08-18,31.604166666666668,55.416666666666664,21.066666666666666,34.512499999999996,999.25,0.8
1983-08-19,30.474999999999998,66.41666666666667,22.558333333333334,34.71666666666667,1000.0208333333334,10.3
1983-08-20,29.849999999999998,72.45833333333333,23.55,34.90416666666667,1000.9541666666668,7.3
1983-08-21,29.34583333333333,74.66666666666667,23.695833333333336,34.5,1001.1374999999999,11.7
1983-08-22,28.537499999999998,80.33333333333333,24.491666666666664,33.99166666666667,1002.0,16.9
1983-08-23,28.287499999999998,79.04166666666667,23.97083333333333,33.2375,1003.4833333333332,8.2
1983-08-24,28.829166666666666,73.91666666666667,23.34583333333333,33.55416666666667,1002.7208333333333,1.8
1983-08-25,28.308333333333334,75.66666666666667,23.145833333333332,32.800000000000004,1003.2291666666666,7.9
1983-08-26,27.5625,82.25,24.1125,32.69166666666667,1003.9791666666666,7.4
1983-08-27,27.695833333333336,83.20833333333333,24.329166666666666,33.02916666666667,1003.6083333333332,19.0
1983-08-28,27.125,86.20833333333333,24.554166666666664,32.525,1002.8874999999999,18.2
1983-08-29,28.358333333333334,78.91666666666667,24.058333333333334,33.65833333333333,1002.9666666666667,5.6
1983-08-30,28.287499999999998,78.83333333333333,24.087500000000002,33.25833333333333,1003.3333333333334,0.30000000000000004
1983-08-31,28.21666666666667,79.75,24.28333333333333,33.59166666666667,1003.5708333333333,2.1
1983-09-01,28.2375,79.875,24.3,33.416666666666664,1003.4,3.1
1983-09-02,27.78333333333333,83.625,24.65833333333333,33.19166666666667,1004.1750000000001,8.2
1983-09-03,28.054166666666664,80.95833333333333,24.337500000000002,33.19583333333333,1004.4958333333334,5.5
1983-09-04,28.15833333333333,79.16666666666667,24.004166666666666,33.32083333333333,1005.2624999999999,5.2
1983-09-05,27.808333333333334,82.625,24.3625,33.204166666666666,1004.125,12.5
1983-09-06,28.175,81.54166666666667,24.5,33.5375,1002.525,8.3
1983-09-07,27.712500000000002,82.125,24.004166666666666,32.90833333333333,1002.8958333333334,13.9
1983-09-08,27.991666666666664,80.41666666666667,24.133333333333336,33.34166666666667,1003.1875,1.7
1983-09-09,27.633333333333336,81.54166666666667,23.991666666666664,33.02916666666667,1003.3166666666666,10.3
1983-09-10,27.2625,81.75,23.679166666666664,32.225,1003.3000000000001,10.9
1983-09-11,26.462500000000002,87.625,24.191666666666666,31.59166666666667,1003.7708333333334,12.0
1983-09-12,26.891666666666666,85.70833333333333,24.145833333333332,31.758333333333336,1004.2583333333333,14.7
1983-09-13,27.854166666666668,81.16666666666667,24.129166666666666,33.03333333333333,1004.5,4.1
1983-09-14,28.037499999999998,79.41666666666667,23.974999999999998,32.9625,1003.9,1.8
1983-09-15,27.912499999999998,79.375,23.90416666666667,32.59583333333333,1003.1708333333332,4.4
1983-09-16,27.866666666666664,76.91666666666667,23.3125,32.15833333333333,1003.625,2.0
1983-09-17,27.96666666666667,75.70833333333333,23.15833333333333,32.30416666666667,1003.6875,1.2
1983-09-18,28.337500000000002,70.95833333333333,22.45,32.59583333333333,1003.1666666666666,1.3
1983-09-19,28.320833333333336,75.95833333333333,23.3625,33.1,1003.6708333333332,3.2
1983-09-20,28.7375,73.125,23.116666666666664,33.387499999999996,1003.8708333333334,0.30000000000000004
1983-09-21,29.15416666666667,66.79166666666667,22.099999999999998,32.90833333333334,1002.6583333333333,0.3
1983-09-22,27.766666666666666,73.58333333333333,22.34166666666667,31.625,1001.8083333333334,3.7
1983-09-23,27.8125,75.66666666666667,22.90833333333333,31.84166666666667,1000.9499999999999,3.0
1983-09-24,27.804166666666664,78.20833333333333,23.3625,32.55833333333333,1001.7375000000001,5.8
1983-09-25,28.191666666666666,77.875,23.804166666666664,33.175000000000004,1002.4916666666667,4.2
1983-09-26,28.53333333333333,75.91666666666667,23.691666666666666,33.75833333333333,1002.1750000000001,5.3
1983-09-27,28.691666666666666,72.875,23.083333333333332,33.324999999999996,1002.7958333333332,0.0
1983-09-28,28.733333333333334,65.45833333333333,21.2,32.13333333333333,1002.225,0.0
1983-09-29,29.008333333333336,67.54166666666667,22.037499999999998,32.90416666666667,1002.6041666666666,3.6
1983-09-30,28.183333333333334,76.625,23.287499999999998,32.766666666666666,1003.9,4.6000000000000005
1983-10-01,28.791666666666668,66.0,21.616666666666664,32.208333333333336,1003.0458333333332,0.0
1983-10-02,29.65416666666667,56.958333333333336,20.079166666666666,31.8125,1001.8625000000001,0.0
1983-10-03,29.320833333333336,61.125,20.916666666666668,31.575,1000.9958333333334,0.6
1983-10-04,30.03333333333333,60.791666666666664,21.479166666666668,32.625,1000.0458333333332,0.0
1983-10-05,29.866666666666664,60.333333333333336,20.916666666666668,32.9375,999.8166666666666,0.0
1983-10-06,29.59583333333333,65.625,22.03333333333333,33.32083333333333,1001.775,0.0
1983-10-07,28.96666666666667,72.875,23.133333333333336,33.925000000000004,1003.7166666666667,0.0
1983-10-08,28.09583333333333,79.125,23.90416666666667,33.395833333333336,1004.3291666666668,0.4
1983-10-09,27.787499999999998,82.54166666666667,24.366666666666664,33.387499999999996,1005.0416666666666,2.3
1983-10-10,28.34166666666667,75.04166666666667,23.275000000000002,32.80416666666667,1005.7875,1.9000000000000001
1983-10-11,28.545833333333334,75.5,23.474999999999998,33.74166666666667,1005.125,0.0
1983-10-12,28.474999999999998,75.625,23.566666666666666,33.420833333333334,1003.2541666666666,2.2
1983-10-13,29.72083333333333,67.33333333333333,22.625,34.0875,1002.6083333333332,0.2
1983-10-14,29.46666666666667,69.33333333333333,22.96666666666667,33.94583333333333,1003.1708333333332,5.6
1983-10-15,29.34583333333333,72.16666666666667,23.354166666666668,34.34583333333333,1003.1916666666666,0.2
1983-10-16,28.191666666666666,77.95833333333333,23.724999999999998,33.55416666666667,1003.65,17.7
1983-10-17,27.599999999999998,80.29166666666667,23.7,33.0625,1004.4875000000001,0.7
1983-10-18,27.583333333333332,80.08333333333333,23.625,32.637499999999996,1005.3041666666667,0.1
1983-10-19,27.491666666666664,77.25,22.8,32.233333333333334,1005.4708333333333,0.6
