date,rainfall,temperature_2m,humidity,dewpoint_2m,apparent_temperature,pressure,precipitation
1966-05-03,0.4261584877967834,29.775,71.5,23.875,34.67916666666667,1005.175,0.1
1966-05-04,0.0,31.029166666666665,62.125,22.1,34.987500000000004,1003.9041666666668,0.0
1966-05-05,29.84985542297364,31.4,59.125,21.820833333333336,35.24583333333333,1003.9375,0.0
1966-05-06,0.0,32.3375,55.66666666666666,21.791666666666668,36.145833333333336,1003.0833333333334,0.0
1966-05-07,0.0,32.4,53.458333333333336,21.2,36.016666666666666,1002.5875,1.2
1966-05-08,12.334762573242188,33.1625,49.833333333333336,20.620833333333334,36.48333333333333,1002.2791666666668,0.1
1966-05-09,0.0,33.954166666666666,46.083333333333336,20.0,36.85,1002.3541666666666,0.0
1966-05-10,0.0,33.858333333333334,45.833333333333336,20.02083333333333,36.59166666666667,1003.4458333333332,1.4
1966-05-11,0.0,33.300000000000004,50.66666666666666,21.154166666666665,37.09166666666667,1003.5541666666668,2.9
1966-05-12,0.0,33.391666666666666,53.458333333333336,21.620833333333334,37.42916666666667,1004.3958333333334,0.0
1966-05-13,0.0,33.050000000000004,52.16666666666666,20.883333333333333,36.54583333333333,1004.7,0.0
1966-05-14,0.0,33.354166666666664,50.208333333333336,20.554166666666667,36.3625,1003.3791666666666,0.0
1966-05-15,0.0,33.68333333333333,49.0,20.329166666666666,36.68333333333333,1002.7208333333332,0.0
1966-05-16,0.0,34.045833333333334,46.458333333333336,19.7125,36.8625,1002.6458333333334,0.1
1966-05-17,0.0,34.6875,40.625,18.4125,36.77916666666667,1001.225,0.0
1966-05-18,0.0,34.94166666666667,43.25,19.891666666666666,37.6375,1000.8541666666666,0.0
1966-05-19,0.0,34.94166666666667,41.333333333333336,19.125,37.00416666666667,1001.2666666666668,2.0
1966-05-20,1.5750739574432373,34.80416666666667,40.583333333333336,18.73333333333333,36.54166666666666,1001.5916666666668,0.0
1966-05-21,0.0,34.7875,42.875,19.370833333333334,36.954166666666666,1000.3125,0.3
1966-05-22,0.0,35.59583333333333,38.583333333333336,18.541666666666668,37.62083333333333,998.7958333333332,0.0
1966-05-23,0.0,36.46666666666667,33.541666666666664,17.104166666666668,37.55833333333333,999.0583333333334,0.8999999999999999
1966-05-24,0.0,36.48333333333333,34.416666666666664,17.6875,37.45,999.5625,0.5
