TIME,LONGITUDE,LATITUDE,RAINFALL,time,lon,lat,rf
1977-07-16,79.5,12.0,1.9547983407974243,,,,
1977-07-17,79.5,12.0,0.11691898107528687,,,,
1977-07-18,79.5,12.0,0.23644901812076569,,,,
1977-07-19,79.5,12.0,2.57570481300354,,,,
1977-07-20,79.5,12.0,0.0,,,,
1977-07-21,79.5,12.0,0.0,,,,
1977-07-22,79.5,12.0,0.49105966091156006,,,,
1977-07-23,79.5,12.0,0.0,,,,
1977-07-24,79.5,12.0,0.0,,,,
1977-07-25,79.5,12.0,0.21045416593551636,,,,
1977-07-26,79.5,12.0,0.22518955171108246,,,,
1977-07-27,79.5,12.0,0.8652004599571228,,,,
1977-07-28,79.5,12.0,0.7870616912841797,,,,
1977-07-29,79.5,12.0,0.18707036972045898,,,,
1977-07-30,79.5,12.0,0.0,,,,
1977-07-31,79.5,12.0,0.0,,,,
1977-08-01,79.5,12.0,0.0,,,,
1977-08-02,79.5,12.0,34.64116668701172,,,,
1977-08-03,79.5,12.0,0.0,,,,
1977-08-04,79.5,12.0,0.0,,,,
1977-08-05,79.5,12.0,0.0,,,,
1977-08-06,79.5,12.0,0.0,,,,
1977-08-07,79.5,12.0,0.0,,,,
1977-08-08,79.5,12.0,0.13511373102664948,,,,
1977-08-09,79.5,12.0,0.11691898107528687,,,,
1977-08-10,79.5,12.0,2.4752724170684814,,,,
1977-08-11,79.5,12.0,39.582061767578125,,,,
1977-08-12,79.5,12.0,0.0,,,,
1977-08-13,79.5,12.0,0.0,,,,
1977-08-14,79.5,12.0,1.4811493158340454,,,,
1977-08-15,79.5,12.0,9.08854866027832,,,,
1977-08-16,79.5,12.0,0.0,,,,
1977-08-17,79.5,12.0,0.0,,,,
1977-08-18,79.5,12.0,0.2477084994316101,,,,
1977-08-19,79.5,12.0,29.244966506958008,,,,
1977-08-20,79.5,12.0,114.05152893066406,,,,
1977-08-21,79.5,12.0,38.45148849487305,,,,
1977-08-22,79.5,12.0,0.0,,,,
1977-08-23,79.5,12.0,0.0,,,,
1977-08-24,79.5,12.0,0.0,,,,
1977-08-25,79.5,12.0,3.5001487731933594,,,,
1977-08-26,79.5,12.0,0.0,,,,
1977-08-27,79.5,12.0,0.0,,,,
1977-08-28,79.5,12.0,8.749800682067871,,,,
1977-08-29,79.5,12.0,0.15763269364833832,,,,
1977-08-30,79.5,12.0,0.0,,,,
1977-08-31,79.5,12.0,0.0,,,,
1977-09-01,79.5,12.0,0.0,,,,
1977-09-02,79.5,12.0,0.49105966091156006,,,,
1977-09-03,79.5,12.0,0.0,,,,
1977-09-04,79.5,12.0,0.0,,,,
1977-09-05,79.5,12.0,0.0,,,,
1977-09-06,79.5,12.0,0.0,,,,
1977-09-07,79.5,12.0,3.1540586948394775,,,,
1977-09-08,79.5,12.0,0.23383796215057373,,,,
1977-09-09,79.5,12.0,0.0,,,,
1977-09-10,79.5,12.0,0.0,,,,
1977-09-11,79.5,12.0,0.0,,,,
1977-09-12,79.5,12.0,0.0,,,,
1977-09-13,79.5,12.0,0.0,,,,
1977-09-14,79.5,12.0,7.174391746520996,,,,
1977-09-15,79.5,12.0,2.6468307971954346,,,,
1977-09-16,79.5,12.0,100.19801330566406,,,,
1977-09-17,79.5,12.0,4.274661540985107,,,,
1977-09-18,79.5,12.0,1.4829459190368652,,,,
1977-09-19,79.5,12.0,0.6515994071960449,,,,
1977-09-20,79.5,12.0,0.0,,,,
1977-09-21,79.5,12.0,0.0,,,,
1977-09-22,79.5,12.0,0.0,,,,
1977-09-23,79.5,12.0,0.0,,,,
1977-09-24,79.5,12.0,0.0,,,,
1977-09-25,79.5,12.0,0.0,,,,
1977-09-26,79.5,12.0,0.0,,,,
1977-09-27,79.5,12.0,0.0,,,,
1977-09-28,79.5,12.0,0.0,,,,
1977-09-29,79.5,12.0,0.0,,,,
1977-09-30,79.5,12.0,0.0,,,,
1977-10-01,79.5,12.0,6.069334983825684,,,,
1977-10-02,79.5,12.0,0.0,,,,
1977-10-03,79.5,12.0,0.0,,,,
1977-10-04,79.5,12.0,0.0,,,,
1977-10-05,79.5,12.0,0.8470792770385742,,,,
1977-10-06,79.5,12.0,2.768129825592041,,,,
1977-10-07,79.5,12.0,7.973873615264893,,,,
1977-10-08,79.5,12.0,9.471434593200684,,,,
1977-10-09,79.5,12.0,4.023700714111328,,,,
1977-10-10,79.5,12.0,16.065353393554688,,,,
1977-10-11,79.5,12.0,3.097172737121582,,,,
1977-10-12,79.5,12.0,28.378662109375,,,,
1977-10-13,79.5,12.0,15.923720359802246,,,,
1977-10-14,79.5,12.0,0.6752409934997559,,,,
1977-10-15,79.5,12.0,12.938802719116211,,,,
1977-10-16,79.5,12.0,11.408084869384766,,,,
1977-10-17,79.5,12.0,19.480609893798828,,,,
1977-10-18,79.5,12.0,56.3172492980957,,,,
1977-10-19,79.5,12.0,3.928978443145752,,,,
1977-10-20,79.5,12.0,13.457124710083008,,,,
1977-10-21,79.5,12.0,5.170152187347412,,,,
1977-10-22,79.5,12.0,58.444297790527344,,,,
1977-10-23,79.5,12.0,70.45047760009766,,,,
1977-10-24,79.5,12.0,105.4340591430664,,,,
1977-10-25,79.5,12.0,72.50666046142578,,,,
1977-10-26,79.5,12.0,11.450511932373047,,,,
1977-10-27,79.5,12.0,24.369918823242188,,,,
1977-10-28,79.5,12.0,0.0,,,,
1977-10-29,79.5,12.0,0.0,,,,
1977-10-30,79.5,12.0,0.0,,,,
1977-10-31,79.5,12.0,0.0,,,,
1977-11-01,79.5,12.0,0.0,,,,
1977-11-02,79.5,12.0,0.0,,,,
1977-11-03,79.5,12.0,1.8914930820465088,,,,
1977-11-04,79.5,12.0,1.8092659711837769,,,,
1977-11-05,79.5,12.0,19.526098251342773,,,,
1977-11-06,79.5,12.0,38.0362434387207,,,,
1977-11-07,79.5,12.0,10.868966102600098,,,,
1977-11-08,79.5,12.0,46.43478012084961,,,,
1977-11-09,79.5,12.0,5.849730491638184,,,,
1977-11-10,79.5,12.0,0.0,,,,
1977-11-11,79.5,12.0,1.4256128072738647,,,,
1977-11-12,79.5,12.0,110.1213150024414,,,,
1977-11-13,79.5,12.0,127.31523895263672,,,,
1977-11-14,79.5,12.0,13.679439544677734,,,,
1977-11-15,79.5,12.0,86.3477554321289,,,,
1977-11-16,79.5,12.0,4.25997257232666,,,,
1977-11-17,79.5,12.0,0.1463731974363327,,,,
1977-11-18,79.5,12.0,5.843478679656982,,,,
1977-11-19,79.5,12.0,0.0,,,,
1977-11-20,79.5,12.0,0.4503791034221649,,,,
1977-11-21,79.5,12.0,15.913022994995117,,,,
1977-11-22,79.5,12.0,65.60852813720703,,,,
1977-11-23,79.5,12.0,0.18015164136886597,,,,
1977-11-24,79.5,12.0,15.065391540527344,,,,
1977-11-25,79.5,12.0,39.088951110839844,,,,
1977-11-26,79.5,12.0,37.42593765258789,,,,
1977-11-27,79.5,12.0,33.01914978027344,,,,
1977-11-28,79.5,12.0,2.401897430419922,,,,
1977-11-29,79.5,12.0,0.32579970359802246,,,,
1977-11-30,79.5,12.0,0.23383796215057373,,,,
1977-12-01,79.5,12.0,0.0,,,,
1977-12-02,79.5,12.0,0.0,,,,
1977-12-03,79.5,12.0,3.33229398727417,,,,
1977-12-04,79.5,12.0,0.7015138864517212,,,,
1977-12-05,79.5,12.0,0.7225375771522522,,,,
1977-12-06,79.5,12.0,0.0,,,,
1977-12-07,79.5,12.0,0.0,,,,
1977-12-08,79.5,12.0,0.0,,,,
1977-12-09,79.5,12.0,1.8541557788848877,,,,
1977-12-10,79.5,12.0,0.0,,,,
1977-12-11,79.5,12.0,0.0,,,,
1977-12-12,79.5,12.0,0.0,,,,
1977-12-13,79.5,12.0,0.0,,,,
1977-12-14,79.5,12.0,0.0,,,,
1977-12-15,79.5,12.0,0.0,,,,
1977-12-16,79.5,12.0,0.0,,,,
1977-12-17,79.5,12.0,0.0,,,,
1977-12-18,79.5,12.0,0.0,,,,
1977-12-19,79.5,12.0,0.0,,,,
1977-12-20,79.5,12.0,0.0,,,,
1977-12-21,79.5,12.0,0.0,,,,
1977-12-22,79.5,12.0,0.7248976230621338,,,,
1977-12-23,79.5,12.0,0.0,,,,
1977-12-24,79.5,12.0,0.0,,,,
1977-12-25,79.5,12.0,0.0,,,,
1977-12-26,79.5,12.0,0.0,,,,
1977-12-27,79.5,12.0,0.0,,,,
1977-12-28,79.5,12.0,0.0,,,,
1977-12-29,79.5,12.0,0.0,,,,
1977-12-30,79.5,12.0,0.0,,,,
1977-12-31,79.5,12.0,0.0,,,,
1978-01-01,79.5,12.0,0.0,,,,
1978-01-02,79.5,12.0,0.0,,,,
1978-01-03,79.5,12.0,0.0,,,,
1978-01-04,79.5,12.0,0.0,,,,
1978-01-05,79.5,12.0,0.0,,,,
1978-01-06,79.5,12.0,0.0,,,,
1978-01-07,79.5,12.0,0.0,,,,
1978-01-08,79.5,12.0,0.0,,,,
1978-01-09,79.5,12.0,0.0,,,,
1978-01-10,79.5,12.0,0.0,,,,
1978-01-11,79.5,12.0,0.0,,,,
1978-01-12,79.5,12.0,0.0,,,,
1978-01-13,79.5,12.0,0.0,,,,
1978-01-14,79.5,12.0,0.0,,,,
1978-01-15,79.5,12.0,0.0,,,,
1978-01-16,79.5,12.0,0.0,,,,
1978-01-17,79.5,12.0,0.0,,,,
1978-01-18,79.5,12.0,0.0,,,,
1978-01-19,79.5,12.0,0.0,,,,
1978-01-20,79.5,12.0,0.0,,,,
1978-01-21,79.5,12.0,0.0,,,,
1978-01-22,79.5,12.0,0.0,,,,
1978-01-23,79.5,12.0,0.0,,,,
1978-01-24,79.5,12.0,0.0,,,,
1978-01-25,79.5,12.0,0.0,,,,
1978-01-26,79.5,12.0,0.0,,,,
1978-01-27,79.5,12.0,0.0,,,,
1978-01-28,79.5,12.0,0.0,,,,
1978-01-29,79.5,12.0,0.0,,,,
1978-01-30,79.5,12.0,0.0,,,,
1978-01-31,79.5,12.0,0.0,,,,
1978-02-01,79.5,12.0,0.0,,,,
1978-02-02,79.5,12.0,0.0,,,,
1978-02-03,79.5,12.0,0.0,,,,
1978-02-04,79.5,12.0,0.0,,,,
1978-02-05,79.5,12.0,0.0,,,,
1978-02-06,79.5,12.0,0.0,,,,
1978-02-07,79.5,12.0,0.0,,,,
1978-02-08,79.5,12.0,0.0,,,,
1978-02-09,79.5,12.0,0.0,,,,
1978-02-10,79.5,12.0,0.0,,,,
1978-02-11,79.5,12.0,0.0,,,,
1978-02-12,79.5,12.0,0.0,,,,
1978-02-13,79.5,12.0,0.0,,,,
1978-02-14,79.5,12.0,0.0,,,,
1978-02-15,79.5,12.0,0.0,,,,
1978-02-16,79.5,12.0,0.0,,,,
1978-02-17,79.5,12.0,0.0,,,,
1978-02-18,79.5,12.0,0.0,,,,
1978-02-19,79.5,12.0,0.0,,,,
1978-02-20,79.5,12.0,0.0,,,,
1978-02-21,79.5,12.0,2.2336513996124268,,,,
1978-02-22,79.5,12.0,0.0,,,,
1978-02-23,79.5,12.0,0.0,,,,
1978-02-24,79.5,12.0,0.0,,,,
1978-02-25,79.5,12.0,0.0,,,,
1978-02-26,79.5,12.0,0.0,,,,
1978-02-27,79.5,12.0,0.0,,,,
1978-02-28,79.5,12.0,0.0,,,,
1978-03-01,79.5,12.0,0.0,,,,
1978-03-02,79.5,12.0,0.0,,,,
1978-03-03,79.5,12.0,0.0,,,,
1978-03-04,79.5,12.0,0.0,,,,
1978-03-05,79.5,12.0,0.0,,,,
1978-03-06,79.5,12.0,0.0,,,,
1978-03-07,79.5,12.0,0.0,,,,
1978-03-08,79.5,12.0,0.0,,,,
1978-03-09,79.5,12.0,0.0,,,,
1978-03-10,79.5,12.0,0.0,,,,
1978-03-11,79.5,12.0,0.0,,,,
1978-03-12,79.5,12.0,0.0,,,,
1978-03-13,79.5,12.0,0.0,,,,
1978-03-14,79.5,12.0,0.0,,,,
1978-03-15,79.5,12.0,0.0,,,,
1978-03-16,79.5,12.0,0.0,,,,
1978-03-17,79.5,12.0,0.0,,,,
1978-03-18,79.5,12.0,0.0,,,,
1978-03-19,79.5,12.0,0.0,,,,
1978-03-20,79.5,12.0,0.0,,,,
1978-03-21,79.5,12.0,0.0,,,,
1978-03-22,79.5,12.0,0.0,,,,
